company_name~|~manufacturer_name~|~brand_name~|~manufacturer_part_number~|~vendor_seller_part_number~|~item_name~|~full_product_description~|~price~|~country_of_origin~|~unit_of_issue~|~qty_per_uoi~|~upc~|~model_number~|~product_category~|~url~|~availability~|~date_crawled~|~lead_time~|~rohs_reach~|~stock_on_hand
Restockit~|~Papermate~|~Papermate~|~PAP70520~|~PAP70520~|~Papermate Pink Pearl Eraser, Rectangular, Medium, Elastomer, 24/Box (PAP70520)~|~This classic premium eraser easily removes pencil marks. Soft, pliable rubber is easy to maneuver and resists paper tears. For everyone from students to serious artists. Eraser is self-cleaning and smudge resistant to keep your paper clean. The beveled shape allows for accurate erasing.~|~13.79~|~~|~Box~|~24~|~070530705201~|~~|~Office Supplies > Pens, Writing and Correction > Erasers > Cube and Pencil-Top Erasers~|~https://www.restockit.com/products/papermate-pink-pearl-eraser-num-pap70520~|~In stock~|~2026-04-20~|~~|~~|~1468
Restockit~|~Boardwalk~|~Boardwalk~|~BWKV030QPW~|~BWKV030QPW~|~Boardwalk DRC Wipers, 12 x 13, White, 90 Bag, 12 Bags/Carton (BWKV030QPW)~|~Durable, DRC wipers provide a convenient clean and a cloth-like feel. Highly absorbent, thick wipers that are soft enough to use as a personal wipes yet strong enough to handle tough cleaning jobs. Ideal for glass, mirrors, and general-purpose cleaning, these wipers are a great alternative to rags and kitchen towels. Low-linting wipes are also great for staining. Unique stretch and softness.~|~66.07~|~~|~Case~|~1080~|~749507987857~|~~|~Cleaning Supplies > Wipers~|~https://www.restockit.com/products/boardwalk-drc-wipers-num-bwkv030qpw~|~In stock~|~2026-04-20~|~~|~~|~259
Restockit~|~Boardwalk~|~Boardwalk~|~BWK410320~|~BWK410320~|~Boardwalk Jumbo Roll Bathroom Tissue, Septic Safe, 2-Ply, White, 3.2" x 525 ft, 12 Rolls/Carton (BWK410320)~|~Soft, white toilet tissue is a perfect choice for high-traffic restrooms where there isnt always an attendant on-duty to replace the roll. Economical value size. The jumbo size tissue rolls ensure more feet per roll, resulting in fewer roll changes. Laminated for excellent strength and ply bonding. Safe for septic and sewer systems. The rolls are compatible with dispensers, which are sold separately.~|~31.95~|~~|~Case~|~12~|~749507988533~|~~|~Cleaning Supplies > Paper Products and Dispensers > Toilet Paper > Jumbo Roll Toilet Paper~|~https://www.restockit.com/products/boardwalk-jumbo-roll-bathroom-tissue-num-bwk410320~|~Out of stock~|~2026-04-20~|~~|~~|~0
Restockit~|~Hammermill~|~Hammermill~|~HAM104604~|~HAM104604~|~Hammermill Premium Laser Print Paper, 98 Bright, 24lb, 8.5 x 11, White, 500/Ream (HAM104604)~|~Premium laser printer paper is capable of producing sharp, clear images on both color and monochrome laser-based equipment. A must have for everyone, from home-office to design professionals, it's ideal for color copies, proposals, reports, layouts and letters. Backed by the 99.99% Jam-Free Guarantee. Acid-free material prevents yellowing over time to ensure a long-lasting appearance. This product was made from wood sourced from a certified managed forest.~|~12.70~|~~|~Ream~|~1~|~010199004604~|~~|~Office Supplies > Copy and Printer Paper > Laser Paper~|~https://www.restockit.com/products/hammermill-premium-laser-print-paper-num-ham104604~|~In stock~|~2026-04-20~|~~|~~|~31765
Restockit~|~Boardwalk~|~Boardwalk~|~UNS41QTWBBLA~|~UNS41QTWBBLA~|~Boardwalk Soft-Sided Wastebasket, 41 qt, Plastic, Black (UNS41QTWBBLA)~|~Economically priced, rectangular wastebasket is made of flexible plastic for maximum durability. Low-profile design makes it ideal for everyday use in the home or the office. Sleek design ideal for fitting in tighter spaces. Rim at the top is great for gripping and carrying. A liner can be tied around the top lip for easy disposal. Great for everyday use in offices, kitchens, or bathrooms.~|~14.82~|~~|~Each~|~1~|~086876204124~|~~|~Cleaning Supplies > Can Liners and Trash Cans > Trash Cans > Indoor Trash Cans~|~https://www.restockit.com/products/boardwalk-soft-sided-wastebasket-num-uns41qtwbbla~|~In stock~|~2026-04-20~|~~|~~|~4244
Restockit~|~Scott~|~Scott~|~KCC43959~|~KCC43959~|~Scott Pro Hard Roll Paper Towels with Absorbency Pockets, for Scott Pro Dispenser, Blue Core Only, 1-Ply, 7.5" x 900 ft, 6 Rolls/CT (KCC43959)~|~Scott Pro provides state of the art solutions to maximize productivity. You can trust Scott Pro Hard Roll Paper Towels, with fast-drying Absorbency Pockets, to provide efficient, reliable hand-drying for your washroom or breakroom. These paper towels are exclusively compatible with the Scott Pro Dispenser systems, which can adapt to suit your needs. Plus, the paper towels Absorbency Pockets mean that users will need fewer towels to dry their hands. The result? More towels left in the dispenser, more time between refills and less paper waste. Drying is one of the most important steps in the hand washing process, and how you dry matters. Providing high-quality Scott Pro Hard Roll commercial paper towels to your guests, clients and employees is one important piece of the workplace hygiene puzzle.~|~121.19~|~~|~Case~|~6~|~036000439595~|~~|~Cleaning Supplies > Paper Products and Dispensers > Paper Towels > Hardwound Paper Towels~|~https://www.restockit.com/products/scott-pro-hard-roll-paper-towels-with-absorbency-pockets-num-kcc43959~|~In stock~|~2026-04-20~|~~|~~|~666
Restockit~|~CLR PRO~|~CLR PRO~|~JELCL4PRO~|~JELCL4PRO~|~CLR PRO Calcium, Lime and Rust Remover, 1 gal Bottle, 4/Carton (JELCL4PRO)~|~Powerful, trusted multi-use cleaner dissolves even the hardest calcium and lime buildup, rust, mineral deposits, hard water stains, soap scum, and oxidation. Certified EPA's Safer Choice for safer chemistry means that this non-toxic formula is safe for use in a wide variety of applications including dishwashers, coffeepots, sinks, toilets, glass, siding, stucco, sprinkler systems and more! CLR PRO Calcium, Lime and Rust Remover is NSF Certified and is approved for use in food processing, food storage, and food service facilities. Plumbing and septic safe. Phosphate-, bleach-, ammonia- and alcohol-free.~|~105.49~|~~|~Bottle~|~4~|~078291122220~|~~|~Cleaning Supplies > Cleaning Chemicals > Bathroom and Tile Cleaners~|~https://www.restockit.com/products/jelmar-calcium-num-jelcl4pro~|~In stock~|~2026-04-20~|~~|~~|~45
Restockit~|~Rubbermaid~|~Rubbermaid~|~UNXRMRT030003~|~UNXRMRT030003~|~Rubbermaid Roughneck Storage Box, 3 gal, 10.63" x 15.69" x 7", Dark Indigo Metallic (UNXRMRT030003)~|~Rugged storage box features shatter-resistant polyethylene construction. Sturdy built-in handles simplify transport. Snap-on, stay-tight lids help keep contents dry and dust-free. Stackable design enables easy, space-saving storage.~|~11.21~|~~|~Each~|~1~|~051596300012~|~~|~Industrial Supplies > Material Handling Supplies > Storage > Storage Containers~|~https://www.restockit.com/products/rubbermaid-roughneck-storage-box-num-unxrmrt030003~|~Out of stock~|~2026-04-20~|~~|~~|~0
Restockit~|~Rubbermaid Commercial~|~Rubbermaid Commercial~|~2957BG~|~2957BG~|~Rubbermaid Commercial Deskside Plastic Wastebasket, 10.25 gal, Plastic, Beige (2957BG)~|~Keep your surroundings clean with the Rubbermaid Large Deskside Soft Molded Plastic Wastebasket. This trash can is made from a high-quality plastic that is long-lasting and does not break, dent, or chip easily, even when used for heavy trash. These Rubbermaid wastebaskets are lightweight and do not rust as some metallic cans may. The plastic trash can has a thick, rolled rim, which provides it with extra strength and makes it easy to clean and hold. This specific Rubbermaid trash can is designed to fit under most standard office desks. The dimensions of this trash can are 19.9" high, 15.25" long and 11" wide. It has a holding capacity of 41.25 qt. Buy this trash can as well as other desk wastebaskets at sale prices from ReStockIt.com.The Rubbermaid Commercial Deskside Trash Can is space-efficient and economical. This waste basket fits under a standard desk height, even when the swing top is fully extended. Its all-plastic construct~|~13.90~|~~|~Each~|~1~|~086876019162~|~~|~Cleaning Supplies > Can Liners and Trash Cans > Trash Cans > Desk Wastebaskets~|~https://www.restockit.com/products/rubbermaid-deskside-plastic-wastebasket-num-2957bg~|~In stock~|~2026-04-20~|~~|~~|~138
Restockit~|~Dixie~|~Dixie~|~DIX2338PATH~|~DIX2338PATH~|~Dixie Pathways Paper Hot Cups, 8oz, 1000/Carton (DIX2338PATH)~|~The polylined design protects against soak-through. Also have durable sidewall strength. Provide an upscale image at an economical cost making them great for specialty hot beverages. This product is made from wood that came from a certified managed forest.~|~115.61~|~~|~Case~|~1000~|~078731940490~|~~|~Food and Breakroom Supplies > Cups, Plates, Bowls, Utensils and Napkins > Paper Cups~|~https://www.restockit.com/products/dixie-pathways-paper-hot-cups-num-dix2338path~|~In stock~|~2026-04-20~|~~|~~|~298
